Operator,Resources,Time
GPU-AIAorticSTE,2,37264.107
GPU-AIAorticSTE,4,25625.050000000003
GPU-AIAorticSTE,6,13116.332999999999
GPU-AIAorticSTE,8,10498.274
GPU-AIAorticSTE,10,8390.939
GPU-AIAorticSTE,12,8138.465999999999
GPU-AIAorticSTE,14,7304.3820000000005
GPU-AIAorticSTE,16,5911.826999999999
GPU-AIAorticSTE,18,5260.562
GPU-AIAorticSTE,20,4834.288
GPU-AIAorticSTE,22,5579.570000000001
GPU-AIAorticSTE,24,4697.614
GPU-AIAorticSTE,26,4527.15
GPU-AIAorticSTE,28,4076.493
GPU-AIAorticSTE,30,3713.323
GPU-AIAorticSTE,32,3778.443
GPU-AIAorticSTE,34,3815.563
GPU-AIAorticSTE,36,3746.187
GPU-AIAorticSTE,38,3700.173
GPU-AIAorticSTE,40,3265.4809999999998
GPU-AIAorticSTE,42,3383.786
GPU-AIAorticSTE,44,3162.666
GPU-AIAorticSTE,46,3492.203
GPU-AIAorticSTE,48,3327.339
GPU-AIAorticSTE,50,3828.1710000000003
GPU-AIAorticSTE,52,3354.538
GPU-AIAorticSTE,54,2995.017
GPU-AIAorticSTE,56,3151.464
GPU-AIAorticSTE,58,3116.4900000000002
GPU-AIAorticSTE,60,2993.995
GPU-AIAorticSTE,62,3090.154
GPU-AIAorticSTE,64,2953.544
GPU-AIAorticSTE,66,2766.4080000000004
GPU-AIAorticSTE,68,2927.753
GPU-AIAorticSTE,70,2929.033
GPU-AIAorticSTE,72,2740.999
GPU-AIAorticSTE,74,2730.631
GPU-AIAorticSTE,76,3051.719
GPU-AIAorticSTE,78,2900.296
GPU-AIAorticSTE,80,3033.352
GPU-AIAorticSTE,82,2836.071
GPU-AIAorticSTE,84,2825.671
GPU-AIAorticSTE,86,2904.455
GPU-AIAorticSTE,88,3366.441
GPU-AIAorticSTE,90,2747.0150000000003
GPU-AIAorticSTE,92,2723.658
GPU-AIAorticSTE,94,2743.495
GPU-AIAorticSTE,96,3770.667
GPU-AIAorticSTE,98,2560.295
GPU-AIAorticSTE,100,3233.0040000000004
GPU-AIAorticSTE,102,2629.5440000000003
GPU-AIAorticSTE,104,2756.136
GPU-AIAorticSTE,106,2600.585
GPU-AIAorticSTE,108,2728.7780000000002
GPU-AIAorticSTE,110,2784.393
GPU-AIAorticSTE,112,2719.078
GPU-AIAorticSTE,114,3223.306
GPU-AIAorticSTE,116,2779.081
